,Key,String,,,,
8,,Sign-in was cancelled. Please try again if needed.,"O login foi cancelado. Tente novamente, se necessário.",Se canceló el inicio de sesión. Inténtalo de nuevo si es necesario.,登录已取消。如果需要，请重试。,Đã hủy đăng nhập. Vui lòng thử lại nếu cần.
2,,Request Expired,Solicitação expirada,Solicitud caducada,请求已过期,Yêu Cầu Đã Hết Hạn
11,,The sign-in request has expired. Please scan the QR code again.,A solicitação de login expirou. Escaneie o QR Code novamente.,La solicitud de inicio de sesión ha caducado. Escanea el código QR nuevamente.,登录请求已过期。请重新扫描二维码。,Yêu cầu đăng nhập đã hết hạn. Vui lòng quét lại mã QR.
12,,Your Email not Verified. Please use the service safety by email verification.,"Seu e-mail ainda não foi verificado. Para sua segurança, confirme o e-mail antes de continuar.",Tu email no está verificado. Usa el servicio de forma segura verificando tu email.,您的邮箱未验证。为安全使用服务，请验证邮箱。,Email của bạn chưa được xác minh. Vui lòng xác minh email để sử dụng dịch vụ an toàn.
1,,Edit,Editar,Editar,编辑,Chỉnh sửa
2,,Account Management,Gerenciar conta,Gestión de cuentas,账户管理,Quản Lý Tài Khoản
12,,"If you change your email, you will need to re-verify your email.","Ao alterar seu e-mail, será necessário realizar nova verificação.","Si cambias tu email, tendrás que volver a verificarlo.",如果您更改了邮箱，则需要重新验证。,"Nếu bạn thay đổi email, bạn sẽ cần xác minh lại email mới."
4,,Waiting for email verification,Aguardando verificação por e-mail,Esperando la verificación por email,等待邮箱验证,Đang chờ xác minh email
3,,Email not verified,E-mail não verificado,Email no verificado,邮箱未验证,Email chưa được xác minh
3,,Invalid email format,Formato de e-mail inválido,Formato de email no válido,邮箱格式无效,Định dạng email không hợp lệ
5,,Email address cannot contain spaces,O e-mail não pode conter espaços,El email no puede contener espacios,邮箱地址不能包含空格,Địa chỉ email không được chứa khoảng trắng
6,,This email is already in use,Este e-mail já está em uso.,Este email ya está en uso,此邮箱已被使用,Email này đã được sử dụng
7,,This email is linked to another account,Este e-mail está vinculado a outra conta,Este email está vinculado a otra cuenta,此邮箱已关联至另一账户,Email này đã được liên kết với một tài khoản khác
6,,This email account has been disabled,Esta conta de e-mail foi desativada,Esta cuenta de email ha sido desactivada,此邮箱账户已被禁用,Tài khoản email này đã bị vô hiệu hóa
9,,New email must be different from your current email,O novo e-mail deve ser diferente do atual,El nuevo email debe ser diferente al actual,新邮箱必须与当前邮箱不同,Email mới phải khác với email hiện tại
8,,Unable to update your email. Please try again,Não foi possível atualizar o e-mail. Tente novamente.,No fue posible actualizar tu email. Inténtalo de nuevo.,无法更新您的邮箱。请重试。,Không thể cập nhật email. Vui lòng thử lại
14,,You’ve attempted to change your email too frequently. Please wait and try again later,Você tentou alterar o e-mail várias vezes seguidas. Espere um pouco antes de tentar novamente.,Has intentado cambiar tu email varias veces seguidas. Espera y vuelve a intentarlo más tarde.,您尝试更改邮箱过于频繁。请稍后再试。,Bạn đã cố thay đổi địa chỉ email quá nhiều lần. Vui lòng chờ và thử lại sau.
3,,Send Veriification Mail,Enviar e-mail de verificação,Enviar email de verificación,发送验证邮件,Gửi Thư Xác Minh
3,,Resend Veriification Mail,Reenviar e-mail de verificação,Reenviar email de verificación,重新发送验证邮件,Gửi Lại Thư Xác Minh
7,,This is an already registered email account,Esta conta já foi registrada,Esta es una cuenta de email ya registrada,这是已注册的邮箱账户,Đây là một tài khoản email đã được đăng ký
9,,This email is not registered. Please sign up first.,E-mail não cadastrado. Crie uma conta primeiro.,Email no registrado. Crea una cuenta primero.,此邮箱未注册。请先注册。,"Email này chưa được đăng ký. Trước tiên, vui lòng tạo tài khoản."
3,,Update Billing Info,Atualizar detalhes de pagamento,Actualizar información de facturación,更新账单信息,Cập Nhật Thông Tin Thanh Toán
18,,"You can update your payment card and billing information, including ZIP Code, using the [Update Billing Info] button.",Atualize seu cartão e dados de cobrança (incluindo CEP) clicando em [Atualizar detalhes de pagamento],"Puedes actualizar tu tarjeta de pago y la información de facturación, incluido el código postal, haciendo clic en [Actualizar información de facturación].",您可以使用[更新账单信息] 按钮更新您的支付卡及账单信息以及包括邮政编码。,"Bạn có thể cập nhật thẻ thanh toán và thông tin hóa đơn, bao gồm mã ZIP, bằng cách nhấn nút [Cập Nhật Thông Tin Thanh Toán]."
5,,Please enter valid card information,Insira as informações do cartão corretamente,Ingresa la información válida de la tarjeta,请输入有效的卡片信息,Vui lòng nhập thông tin thẻ hợp lệ
2,,Billing info,Dados de cobrança,Información de facturación,账单信息,Thông tin thanh toán
14,,Final price may change due to taxes and will be reflected on the button.,O valor final poderá variar com impostos. Confira antes de confirmar.,El precio final puede cambiar debido a los impuestos y se reflejará en el botón.,最终价格可能因税额变动，并将反映在按钮上。,Giá cuối cùng có thể thay đổi do thuế và sẽ được hiển thị trên nút thanh toán.
1,,Pay,Pagar,Pagar,支付,Thanh toán
3,,Card added successfully,Cartão adicionado com sucesso,Tarjeta añadida con éxito,卡片新增成功,Đã thêm thẻ thành công
3,,Card updated successfully,Cartão atualizado com sucesso,Tarjeta actualizada con éxito,卡片更新成功,Đã cập nhật thẻ thành công
3,,Card deleted successfully,Cartão removido com sucesso,Tarjeta eliminada con éxito,卡片删除成功,Đã xóa thẻ thành công
2,,PAYMENT SUMMARY,DETALHES DE PAGAMENTO,RESUMEN DE PAGO,付款摘要,TỔNG HỢP THANH TOÁN
13,,The QR code has expired. Please generate a new code to sign in.,O QR Code expirou. Gere um novo para fazer login.,El código QR ha caducado. Genera un nuevo código para iniciar sesión.,二维码已过期。请刷新二维码登录。,Mã QR đã hết hạn. Vui lòng tạo mã mới để đăng nhập.
2,,Email Verification,Verificação de e-mail,Verificación de email,邮箱验证,Xác Minh Email
2,,Check Available,Verificar disponibilidade,Consultar disponibilidad,检查可用性,Kiểm Tra Khả Dụng
2,,Go Back,Voltar,Regresar,返回,Quay Lại
23,,"To complete the email change, you must verify your new email address.\nIf you go back now, your updated email will not be saved.","Confirme seu novo e-mail para concluir a alteração.\nSe você sair agora, a atualização não será salva.","Para completar el cambio de email, debes verificar tu nuevo email.\nSi regresas ahora, tu email actualizado no se guardará.",要完成邮箱更改，您必须验证您的新邮箱地址。\n如果现在返回，您更新的邮箱将不会被保存。,"Để hoàn tất việc thay đổi email, bạn cần xác minh địa chỉ email mới.
 \nNếu bạn quay lại bây giờ, email vừa cập nhật sẽ không được lưu."
3,,Email Change Restriction,Limite de alteração de e-mail,Restricción de cambio de email,邮箱更改限制,Giới Hạn Thay Đổi Email
23,,You have exceeded the allowed number of email changes. \nYou may update your email again 24 hours after your most recent successful change.,Você atingiu o limite de alterações de e-mail.\nTente novamente 24 horas após sua última atualização.,Has excedido el número permitido de cambios de email.\nPuedes actualizar tu email nuevamente 24 horas después del cambio exitoso más reciente.,您已超过允许的邮箱更改次数限制。\n您需等到最近一次成功更改的24小时后，才能再次更新邮箱。,"Bạn đã vượt quá số lần thay đổi email cho phép.
 \nBạn có thể cập nhật lại email sau 24 giờ kể từ lần thay đổi thành công gần nhất."
16,,You can update your email again 15 minutes after the previous change. Please try again shortly.,Você poderá atualizar seu e-mail novamente 15 minutos após a última alteração.\nTente novamente em breve.,Puedes actualizar tu email 15 minutos después del último cambio. Inténtalo de nuevo en breve.,您需等到上一次更改的15分钟后才能再次更新邮箱。请稍后再试。,Bạn có thể cập nhật lại email sau 15 phút kể từ lần thay đổi trước đó. Vui lòng thử lại sau.
3,,Email Not Available,E-mail indisponível,Email no disponible,邮箱不可用,Email Không Khả Dụng
20,,"The email you entered cannot be used. Please enter a different email. \nFor further assistance, please contact our Help Center.","O e-mail informado não pode ser usado. Tente outro endereço.\nPara mais ajuda, acesse nossa Central de Ajuda.","El email que ingresaste no se puede usar. Ingresa un email diferente.\nPara obtener más ayuda, comunícate con nuestro Centro de ayuda.",您输入的邮箱无法使用。请输入其他邮箱。\n如需进一步协助，请联系我们的帮助中心。,"Email bạn nhập không thể sử dụng. Vui lòng nhập email khác.
 Nếu cần thêm hỗ trợ, vui lòng liên hệ Trung Tâm Hỗ Trợ của chúng tôi."
3,,{n} Month Free,{n} mês grátis,{n} mes gratis,免费{n}个月,Miễn Phí {n} Tháng
3,,{n} Months Free,{n} meses grátis,{n} meses gratis,免费{n}个月,Miễn Phí {n} Tháng
2,,Learn More,Saiba mais,Aprender más,了解更多,Tìm Hiểu Thêm
21,,"The service is only available for those aged 18 and above, and I agree to the terms of service of KOCOWA+.","Este serviço está disponível apenas para maiores de 18 anos.\nAo continuar, você concorda com os Termos de Uso do KOCOWA+.","El servicio solo está disponible para mayores de 18 años, y acepto los términos de servicio de KOCOWA+.",本服务仅限18岁及以上用户使用，并且我同意KOCOWA+的服务条款。,Dịch vụ chỉ dành cho người từ 18 tuổi trở lên và tôi đồng ý với các điều khoản dịch vụ của KOCOWA+.
2,,Resend Email,Reenviar e-mail ,Reenviar email,重新发送邮件,Gửi Lại Email
3,,Email Already Verified,E-mail já verificado,Email ya verificado,邮箱已验证,Email Đã Được Xác Minh
12,,Your email has already been verified. Please refresh the page to continue.,Seu e-mail já foi verificado. Atualize a página para continuar.,Tu email ya ha sido verificado. Actualiza la página para continuar.,您的邮箱已验证。请刷新页面继续。,Email của bạn đã được xác minh. Vui lòng làm mới trang để tiếp tục.
7,,A verification email has sent to {email},Um e-mail de verificação foi enviado para {email}.,Se ha enviado un email de verificación a {email}.,验证邮件已发送至 {email},Email xác minh đã được gửi tới {email}.
3,,Enter ZIP Code,Inserir CEP.,Ingresar código postal,输入邮政编码,Nhập Mã ZIP
5,,Please enter your ZIP Code.,Insira seu CEP.,Ingresa tu código postal.,请输入您的邮政编码。,Vui lòng nhập Mã ZIP của bạn.
6,,Your All-Access Pass to  Korean Entertainment,Seu Passe Completo para o Entretenimento Coreano,Tu pase de acceso total al entretenimiento coreano,您的韩流娱乐畅享通行证,Thẻ Truy Cập Toàn Diện Của Bạn Vào Thế Giới Giải Trí Hàn Quốc
20,,Your email address has not been verified yet.\nPlease check your inbox for the verification email and complete the verification process.,Seu endereço de e-mail ainda não foi verificado.\nVerifique sua caixa de entrada e conclua o processo de verificação.,Tu dirección de email aún no ha sido verificada.\nRevisa tu bandeja de entrada para el email de verificación y completa el proceso. ,您的邮箱地址尚未验证。\n请检查您的收件箱，查收验证邮件并完成验证流程。,Địa chỉ email của bạn chưa được xác minh. \nVui lòng kiểm tra hộp thư đến để tìm email xác minh và hoàn tất quá trình.
18,,"This email address has already been verified.\nIf you are not automatically redirected, press OK to reload this page","Este endereço de e-mail já foi verificado.\nSe você não for redirecionado automaticamente, clique em OK para recarregar esta página.","Esta dirección de email ya ha sido verificada.\nSi no se redirige automáticamente, presiona OK para volver a cargar esta página.",此邮箱地址已验证。\n如果您未被自动重定向，请按“确定”重新加载页面。,"Địa chỉ email này đã được xác minh.\nNếu bạn không được chuyển hướng tự động, hãy nhấn OK để tải lại trang này."
10,,"Once email verification is completed, verification will be completed automatically.","Assim que a verificação do e-mail for concluída, ela será processada automaticamente.","Una vez completada la verificación por email, la verificación se completará automáticamente.",邮箱验证完成后，验证将自动完成。,"Khi việc xác minh email hoàn tất, hệ thống sẽ tự động cập nhật."
11,,"If this screen is not automatically verified, click the check button.","Se esta tela não for verificada automaticamente, clique no botão de verificação.","Si esta pantalla no se verifica automáticamente, haz clic en el botón de verificación.",若此界面未自动完成验证，请点击检查按钮。,"Nếu màn hình này không được xác minh tự động, hãy nhấn nút kiểm tra."
12,,Waiting for email verification. A verification email has been sent to {}.,Aguardando verificação de e-mail. Enviamos um e-mail de verificação para {}.,Esperando la verificación del email. Se ha enviado un email de verificación a {}.,正在等待邮箱验证。验证邮件已发送至 {}。,Đang chờ xác minh email. Email xác minh đã được gửi đến {}.
12,,Please check your inbox and follow the link to complete your registration.,Confira sua caixa de entrada e siga o link para concluir seu cadastro.,Revisa tu bandeja de entrada y sigue el enlace para completar el registro.,请检查您的收件箱并点击链接以完成注册。,Vui lòng kiểm tra hộp thư đến và truy cập liên kết để hoàn tất đăng ký.
20,,You haven’t completed your email verification yet. Please check your inbox and follow the verification link we sent to {}.,Você ainda não concluiu a verificação de e-mail. Verifique sua caixa de entrada e siga o link que enviamos para {}.,Aún no has completado la verificación del email. Revisa tu bandeja de entrada y sigue el enlace que enviamos a {}.,您尚未完成邮箱验证。请检查您的收件箱并点击我们发送至 {} 的验证链接。,Bạn chưa hoàn tất việc xác minh email. Vui lòng kiểm tra hộp thư đến và truy cập liên kết xác minh chúng tôi đã gửi đến {}.
14,,Your email is not verified yet. Please click the verification link in your email.,Seu e-mail ainda não foi verificado. Clique no link de verificação que enviamos.,Tu correo electrónico aún no está verificado. Haz clic en el enlace de verificación.,您的邮箱尚未通过验证。请点击您邮件中的验证链接。,Email của bạn chưa được xác minh. Vui lòng nhấp vào liên kết xác minh trên email.
8,,Please wait a few seconds before checking again.,Aguarde alguns segundos antes de tentar novamente.,Espera unos segundos antes de intentarlo de nuevo.,请等待几秒钟后再次检查。,Vui lòng chờ vài giây trước khi kiểm tra lại.
3,,Too Many Checks,Muitas tentativas de verificação,Demasiados intentos ,验证请求过多,Đã vượt quá số lần kiểm tra cho phép.
3,,Email successfully verified,E-mail verificado com sucesso,Email verificado con éxito,邮箱验证成功,Email đã được xác minh thành công.
1,,Verified,Verificado,Verificado,已验证,Đã xác minh.
4,,Suggesting content by keyword,Recomendação baseada em palavras-chave,Sugerir contenido por palabra clave,按关键词推荐内容,Gợi ý nội dung theo từ khóa
6,,A verification email has sent to,Um e-mail de verificação foi enviado para,Un email de verificación ha sido enviado a,验证邮件已发送至,Một email xác minh đã được gửi đến
19,,We have sent an email to verify your email address. Please check your inbox to complete the sign-up process.,Enviamos um e-mail para confirmar seu endereço. Acesse sua caixa de entrada para concluir o cadastro.,"Hemos enviado un email para verificar tu dirección de email. Por favor, revisa tu bandeja de entrada para completar el proceso de registro.",我们已发送一封验证邮件至您的邮箱，请检查收件箱以完成注册流程。,Chúng tôi đã gửi email để xác minh địa chỉ email của bạn. Vui lòng kiểm tra hộp thư đến để hoàn tất quá trình đăng ký.
5,,Date of last password change:, Data da última alteração de senha:,Fecha del último cambio de contraseña:,最后密码修改日期：,Ngày thay đổi mật khẩu gần nhất:
5,,Your discount was successfully applied.,Seu desconto foi aplicado com sucesso.,El descuento se aplicó con éxito.,您的折扣已成功应用。,Ưu đãi của bạn đã được áp dụng thành công.
13,,"Coupon redemption failed. Your coupon code may be invalid, expired, or already used.","Não foi possível aplicar o cupom. Ele pode estar inválido, expirado ou já utilizado.","La redención de cupones falló. El código de cupón puede ser inválido, caducado o ya utilizado.",优惠券兑换失败。您的优惠券代码可能无效、已过期或已被使用。,"Đổi mã giảm giá không thành công. Mã giảm giá của bạn có thể không hợp lệ, đã hết hạn hoặc đã được sử dụng."
1,,Tomorrow,Amanhã,Mañana,明天,Ngày mai
1,,FAQ's,Perguntas Frequentes,FAQs,常见问题,Câu Hỏi Thường Gặp
4,,Free for 14 days,Grátis por 14 dias,Gratis durante 14 días,免费试用14天,Miễn phí 14 ngày
19,,"Get priority access to thousands of hours of the best Korean dramas, TV shows, and Webcomics with premium subtitles.","Assista a milhares de horas dos melhores dramas, programas de TV e webcomics coreanos com legendas premium, disponível com acesso prioritário.","Obtén acceso prioritario a miles de horas de los mejores dramas, programas de televisión y webcómics coreanos con subtítulos premium.",通过高品质字幕优先观看数千小时最优质的韩剧、电视节目和网络漫画。,"Nhận quyền truy cập ưu tiên vào hàng ngàn giờ phim Hàn Quốc, chương trình truyền hình và truyện tranh Webcomics với phụ đề chất lượng cao."
4,,Enjoy the Premium Subtitle!,Com Legendas Premium!,¡Disfruta del subtítulo premium!,尽享高品质字幕！,Thưởng thức Phụ Đề Chất Lượng Cao!
13,,"Experience an extensive library of K-Dramas, from timeless classics to the latest hits.","Explore um acervo vasto de dramas coreanos, dos clássicos inesquecíveis aos lançamentos do momento.","Disfruta de una extensa biblioteca de K-Dramas, desde clásicos atemporales hasta los últimos éxitos.",体验内容广泛的韩剧库，从永恒经典到最新热门剧集。,"Trải nghiệm kho phim Hàn khổng lồ, từ những tác phẩm kinh điển đến những siêu phẩm mới nhất."
2,,Unlock Now,Acesse Agora,Desbloquear ahora,立即解锁,Mở Khóa Ngay
6,,Your next favorite show is waiting.,Sua próxima série favorita está esperando por você.,Tu próxima serie favorita te está esperando.,您下一部心仪剧集正在等待。,Chương trình yêu thích tiếp theo của bạn đang chờ đón.
1,,Drama,Drama,Drama,电视剧,Phim Truyền Hình
1,,Variety,Variedades,Variedades,综艺,Chương Trình Tạp Kỹ
1,,K-POP,K-POP,K-POP,K-POP,Nhạc K-Pop
1,,Webcomics,Webcomics,Webcómics,网络漫画,Truyện Tranh Webcomics
2,,TV Shows,Programas de TV,Programas de TV,电视节目,Chương Trình Truyền Hình
5,,Start My 14-day Free Trial,Começar teste gratuito de 14 dias,Iniciar mi prueba gratis de 14 días,开始我的14天免费试用,Bắt Đầu Dùng Thử Miễn Phí 14 Ngày
5,,What's included with Your Access?,O que está incluído no seu acesso?,¿Qué incluye tu acceso?,您的通行证包含哪些内容？,Quyền Truy Cập Của Bạn bao gồm những gì?
2,,No Ads,Sem Anúncios,Sin anuncios,无广告,Không Quảng Cáo
2,,Four Profiles,Quatro Perfis,Cuatro perfiles,四个个人资料夹,Bốn Hồ Sơ
3,,Hassle-Free Automatic Renewal,Renovação automática ,Renovación automática,无忧自动续订,Gia Hạn Tự Động Không Rắc Rối
4,,Download & Offline Playback,Download e reprodução offline,Descarga y reproducción sin conexión,下载和离线播放,Tải & Xem Ngoại Tuyến
6,,"Unlimited Dramas, TV Shows, and Webcomics","Acesso ilimitado a dramas, programas e webcomics","Dramas, programas de televisión y webcómics ilimitados",无限量观看剧集、电视节目和网络漫画,"Không Giới Hạn Phim, Chương Trình Truyền Hình và Truyện Tranh Webcomics"
2,,Single Profile,Perfil Único,Perfil único,单个个人资料夹,Tài Khoản Đơn Lẻ
9,,Select Countries May Experience Brief Ads Before Program Begin,Alguns países podem exibir breves anúncios antes do início do conteúdo,Algunos países pueden experimentar anuncios breves antes de que comience el programa.,部分国家/地区的节目开始前可能会有短暂广告,Một Số Quốc Gia Được Chọn Có Thể Xuất Hiện Quảng Cáo Ngắn Trước Khi Chương Trình Bắt Đầu
3,,Start Premium Monthly,Assinar plano Premium mensal,Comenzar suscripción Premium mensual,开启高级月付计划,Bắt Đầu Gói Cao Cấp Hàng Tháng
3,,Start Basic Monthly,Assinar plano Básico mensal,Comenzar suscripción Básico mensual,开启基础月付计划,Bắt Đầu Gói Cơ Bản Hàng Tháng
2,,Compare Plan,Comparar planos,Comparar plan,比较套餐,So Sánh Gói
6,,What's included with the Premium subscription?,O que está incluído na assinatura Premium?,¿Qué incluye la suscripción Premium?,高级订阅包含哪些内容？,Gói đăng ký Cao cấp bao gồm những gì?
5,,Get Started With Premium Access,Comece Seu Acesso Premium,Comenzar con acceso Premium,开启高级通行证,Bắt Đầu Với Quyền Truy Cập Cao Cấp
14,,"Try it free for 14 days, then just $7.99/month. Available only for first-time users.","Experimente grátis por 14 dias, e depois apenas $7.99 por mês. Disponível apenas para novos usuários.","Pruébalo gratis durante 14 días, luego solo $7.99 al mes. Disponible solo para usuarios nuevos.",免费试用14天，之后仅需 $7.99/月。仅限首次用户。,"Dùng thử miễn phí 14 ngày, sau đó chỉ $7.99/tháng. Áp dụng cho người dùng mới."
23,,"After your free trial ends, your subscription will automatically renew as a paid plan. Cancel anytime before the trial ends to avoid charges.","Após o término do período de teste grátis, sua assinatura será renovada automaticamente como um plano pago. Cancele a qualquer momento antes do fim do teste para evitar cobranças.","Una vez finalizada la prueba gratis, la suscripción se renovará automáticamente como un plan de pago. Cancela en cualquier momento antes de que finalice la prueba para evitar cargos.",免费试用结束后，您的订阅将自动续订为付费计划。如需避免收费，请务必在试用期结束前取消。,"Sau khi thời gian dùng thử miễn phí kết thúc, gói đăng ký của bạn sẽ tự động gia hạn thành gói trả phí. Hủy bất cứ lúc nào trước khi thời gian dùng thử kết thúc để tránh bị tính phí."
3,,What is KOCOWA+?,O que é KOCOWA+?,¿Qué es KOCOWA+?,什么是 KOCOWA+？,KOCOWA+ là gì?
25,,"KOCOWA is an online premium streaming service which delivers Korean drama series, variety shows and K-POP shows from KBS, MBC, SBS and other content partners.","KOCOWA+ é um serviço de streaming premium que oferece dramas coreanos, reality shows e programas de K-POP das emissoras KBS, MBC, SBS e de outros parceiros de conteúdo.","KOCOWA es un servicio de streaming premium en línea que ofrece series dramáticas coreanas, programas de variedades y programas de K-POP de KBS, MBC, SBS y otros socios de contenido.",KOCOWA是一项高级在线流媒体服务，提供来自 KBS、MBC、SBS 及其他内容合作伙伴的韩剧、综艺节目和 K-POP 内容。,"KOCOWA là dịch vụ phát trực tuyến cao cấp, cung cấp các bộ phim Hàn Quốc, chương trình tạp kỹ và chương trình K-POP từ KBS, MBC, SBS cùng các đối tác nội dung khác."
5,,Where can I watch KOCOWA+?,Onde posso assistir ao KOCOWA+?,¿Dónde puedo ver KOCOWA+?,我可以在哪里观看KOCOWA+？,Tôi có thể xem KOCOWA+ ở đâu?
8,,How do I start the 14-day free trial?,Como faço para iniciar o teste grátis de 14 dias?,¿Cómo puedo iniciar la prueba gratis de 14 días?,如何开始14天免费试用？,Làm thế nào để bắt đầu dùng thử miễn phí 14 ngày?
20,,We offer the 14-day free trial with our monthly subscription if you have never had a subscription plan with us.,"Oferecemos o teste grátis de 14 dias na nossa assinatura mensal, caso você nunca tenha tido um plano de assinatura conosco.",Ofrecemos una prueba gratis de 14 días con nuestra suscripción mensual si nunca has tenido un plan de suscripción con nosotros.,如果您从未订阅过我们的套餐，我们为月付订阅用户提供14天免费试用。,Chúng tôi cung cấp bản dùng thử miễn phí 14 ngày với gói đăng ký hàng tháng nếu bạn chưa từng có gói đăng ký nào với chúng tôi.
7,,How to use a promotional coupon(Promo Code)?,Como usar um cupom promocional (Código Promocional)?,¿Cómo usar un cupón promocional (Código de Promo)?,如何使用促销优惠券（优惠码）？,Cách sử dụng phiếu giảm giá khuyến mãi (Mã Khuyến Mãi)
22,,"To redeem a promo code, simply enter it during the checkout process. Make sure to select a plan that matches your coupon.","Para resgatar um código promocional, basta inseri-lo durante o processo de pagamento. Certifique-se de selecionar o plano correspondente ao seu cupom.","Para canjear un código promocional, ingrésalo durante el proceso de pago. Asegúrate de seleccionar un plan que coincida con el cupón.",要兑换优惠码，只需在结算过程中输入即可。请确保选择与您的优惠券相匹配的套餐。,"Để đổi mã khuyến mãi, chỉ cần nhập mã trong quá trình thanh toán. Hãy đảm bảo chọn gói dịch vụ phù hợp với phiếu giảm giá của bạn."
2,,Need help?,Precisa de ajuda?,¿Necesitas ayuda?,需要帮助吗？,Cần hỗ trợ?
5,,How much does KOCOWA+ cost?,Quanto custa o KOCOWA+?,¿Cuánto cuesta KOCOWA+?,KOCOWA+ 的费用是多少？,KOCOWA+ giá bao nhiêu?
3,,Get Started Now,Comece Agora,Comenzar ahora,立即开启,Bắt Đầu Ngay
11,,"Watch anytime, anywhere, with the official app for IOS and Android.","Assista a qualquer hora, em qualquer lugar, com o aplicativo oficial para iOS e Android.","Ver en cualquier momento y en cualquier lugar, con la aplicación oficial para iOS y Android.",通过官方IOS和Android应用，随时随地观看。,"Xem mọi lúc, mọi nơi, với ứng dụng chính thức trên IOS và Android."
3,,Account Deletion Notice,Aviso de Exclusão de Conta,Aviso de eliminación de cuenta,账户删除通知,Thông Báo Xóa Tài Khoản
20,,"This ODK account does not support the delete function.\nIf you wish to delete your account, please contact our Help Center.","Esta conta ODK não oferece suporte à função de exclusão. Se deseja excluir sua conta, entre em contato com a nossa Central de Ajuda.","Esta cuenta de ODK no admite la función de eliminación.\nSi deseas eliminar tu cuenta, comunícate con nuestro Centro de ayuda.",此ODK账户不支持删除功能。\n如果您希望删除账户，请联系我们的帮助中心。,"Tài khoản ODK này không hỗ trợ chức năng xóa. \nNếu bạn muốn xóa tài khoản, vui lòng liên hệ Trung Tâm Hỗ Trợ của chúng tôi."
4,s_freetrialnotincluded,Free trial not included.,Período de teste não incluído.,Prueba gratis no incluida.,不包含免费试用。,Không bao gồm bản dùng thử miễn phí.
2,w_checkavailability,Check Availability,Verificar disponibilidade,Comprobar disponibilidad,检查可用性,Kiểm Tra Tình Trạng Khả Dụng
2,s_tryagain,Try Again,Tente novamente,Inténtalo de nuevo,重试,Thử Lại
33,s_gui_notalllang,"If the selected subtitle language is not available, English subtitles will be displayed by default, and if you change the subtitle language during playback, your selection will be saved as the new default.","Se o idioma de legenda selecionado não estiver disponível, as legendas em inglês serão exibidas automaticamente. Se você alterar o idioma durante a reprodução, sua escolha será salva como padrão.","Si el idioma de los subtítulos seleccionado no está disponible, los subtítulos en inglés se mostrarán por defecto. Si cambias el idioma durante la reproducción, tu selección se guardará como el nuevo idioma predeterminado.",若不支持所选字幕语言，将默认显示英文字幕，若您在播放过程中更改字幕语言，您的选择将被保存为新的默认设置。,"Nếu ngôn ngữ phụ đề bạn chọn không khả dụng, phụ đề tiếng Anh sẽ được hiển thị mặc định. Nếu bạn thay đổi ngôn ngữ phụ đề trong khi xem, lựa chọn của bạn sẽ được lưu làm mặc định mới."
2,w_dubbinglang,Dubbing Language,Idioma da dublagem,Idioma de doblaje,配音语言,Ngôn Ngữ Lồng Tiếng
1,w_every,Every,Todos,Cada,每一个,Mỗi
1,w_updates,Updates,Atualizações,Actualizaciones,更新,Cập nhật
1,w_frequent,Frequent,Frequentes,Frecuente,频繁,Thường xuyên
30,s_gui_notdublang,"If the selected dubbing language is unavailable, dubbing audio will not be played. When the dubbing languege is changed during playback, the newly selected language is saved as the default.","Se o idioma de dublagem selecionado não estiver disponível, o áudio dublado não será reproduzido. Ao alterar o idioma de dublagem durante a reprodução, o novo idioma selecionado será salvo como padrão.","Si el idioma de doblaje seleccionado no está disponible, no se reproducirá el audio. Al cambiar el idioma de doblaje durante la reproducción, el nuevo idioma seleccionado se guarda como predeterminado.",如果所选配音语言不可用，将不会播放配音音频。当在播放期间更改配音语言时，新选择的语言将保存为默认设置。,"Nếu ngôn ngữ lồng tiếng đã chọn không khả dụng, âm thanh lồng tiếng sẽ không phát. Khi ngôn ngữ lồng tiếng được thay đổi trong lúc phát, ngôn ngữ mới được chọn sẽ được lưu làm mặc định."
2,s_lastupdated,Last Updated,Última atualização,Última actualización,最后更新,Cập Nhật Lần Cuối
3,w_removeitem,Remove for List,Remover da lista,Eliminar de la lista,从列表中移除,Xóa Khỏi Danh Sách
2,s_viewdetail,View Detail,Ver detalhes,Ver detalle,查看详情,Xem Chi Tiết
2,s_save_percent,Save [rate]%,Economize [rate]%,Ahorra [tasa]%,保存[进度]%,Lưu [tỉ lệ]%
2,s_removeepi,Remove Episode?,Remover episódio?,¿Eliminar episodio?,移除剧集？,Xóa Tập?
1,w_remove,Remove,Remover,Eliminar,移除,Xóa
14,s_removeepicontinuewatching,Are you sure you want to remove this episode from your Continue Watching list?,Tem certeza de que deseja remover este episódio da sua lista Continuar Assistindo?,¿Estás seguro de que deseas eliminar este episodio de tu lista de Continuar viendo?,您确定要将此剧集从继续观看列表中移除吗？,Bạn có chắc muốn xóa tập này khỏi danh sách Xem Tiếp không?
4,s_billedyear,Billed once a year,Cobrado anualmente,Facturado anualmente,每年计费一次,Thanh toán hàng năm
3,s_billedmonth,Billed every month,Cobrado mensalmente,Facturado mensualmente,每月计费,Thanh toán hàng tháng
4,s_billedNmonths,Billed every [N] months,Cobrado a cada [N] meses,Facturado cada [N] meses,每[N]个月计费,Thanh toán mỗi [N] tháng
1,w_months,Months,Meses,Meses,月,Tháng
1,w_best,Best,Melhor,Mejor,最佳,Tốt nhất
